"Pos","Driver","Location","Region","Club","Starts","Wins","Avg Start","Avg Finish","Avg Pts per Race","Top 25%","Avg Field Size","Laps","Laps Lead","Avg Inc","Class","iRating","ttRating","Club Pts","Total Pts","CustId"
"1","Artur Turcu","DE","Region 4","Central-Eastern Europe","2","1","1","2","116","2","11","90","85","0","C 4.99","2950","1887","15","231","15378"
"2","George Sandman","US","Region 1","California Club","20","1","7","7","67","6","18","1256","36","3.7","C 4.99","2005","1355","79","1339","17371"
"3","Lorne Manary","CA","Region 2","Canada","255","8","6","6","66","44","12","9775","343","1.96","C 4.99","2118","1340","387","16751","25746"
"4","Garrick Stapleton","US","Region 1","Mid-South","105","0","7","6","58","10","12","3906","5","1.89","C 4.99","2084","1505","355","6119","234325"
"5","Andre Ortiz","US","Region 1","Florida","148","9","6","7","42","24","12","4906","388","2.74","C 4.99","2292","1449","497","6156","268190"
"6","Steven Jones","GB","Region 3","UK and I","54","6","4","4","86","16","11","2342","303","2.06","C 4.81","2907","1749","203","4656","25165"
"7","Gergo Fonódi","HU","Region 4","Central-Eastern Europe","27","0","9","8","69","5","17","1353","24","2.3","C 4.81","2146","1372","59","1854","44384"
"8","Carl Modoff","US","Region 3","West","67","14","5","5","85","24","11","2721","579","1.9","C 4.71","2803","1332","244","5723","26823"
"9","Bret Rietow","US","Region 1","New York","26","7","3","4","90","20","18","862","295","1.15","C 4.64","2683","1349","98","2348","109227"
"10","Jonathan Brooks2","US","Region 1","Mid-South","64","3","7","9","54","13","19","1928","60","2.91","C 4.61","2016","1350","19","3475","365784"
"11","Jason Harwood","US","Region 1","Carolina","46","1","8","6","63","9","12","2001","33","2.52","C 4.57","2060","1455","118","2877","29480"
"12","Tanner Baldwin","US","Region 1","New York","36","4","11","7","51","14","16","1049","192","2.61","C 4.57","2017","1350","46","1840","286531"
"13","Scott U'Ren","AU","Region 1","Australia/NZ","20","2","7","6","79","5","13","813","71","2.7","C 4.52","2160","1600","61","1572","17193"
"14","Tobias Olsson3","SE","N/A","Scandinavia","45","5","7","7","57","12","15","1365","154","3.07","C 4.51","2160","1350","131","2573","235588"
"15","Chris Pasteryak","US","Region 6","Connecticut","35","2","7","6","68","8","12","1797","111","2.66","C 4.49","2172","1337","82","2372","16515"
"16","Stephen Bair","US","Region 3","West","28","2","9","7","62","9","15","830","53","3.07","C 4.46","2114","1600","74","1745","21863"
"17","Patrick Groover2","US","Region 4","Pennsylvania","49","12","4","5","78","26","17","1223","321","2.51","C 4.44","2873","1340","41","3834","346513"
"18","Martin Truex Jr","US","Southeastern","Carolina","8","5","4","3","86","6","11","357","233","2","C 4.43","2004","1663","51","690","15112"
"19","John Crabtree2","US","Region 2","Virginias","29","4","8","7","74","15","16","1075","75","2.1","C 4.33","2262","1350","63","2152","173074"
"20","Aaron Tan2","GB","Region 3","UK and I","262","26","6","6","61","108","16","7377","961","4.05","C 4.29","2643","1350","18","15944","293449"
"21","Mitchell Smith4","US","Region 3","Midwest","39","15","4","5","68","26","15","991","383","1.67","C 4.15","2439","1350","0","2646","207221"
"22","Rick Perone","US","Region 4","Pennsylvania","195","20","6","5","69","62","11","6967","739","2.54","C 4.11","2408","1316","499","13540","25631"
"23","Jordan Walk","US","Region 2","Virginias","76","6","6","6","68","22","13","2522","168","2.17","C 4.10","2608","1543","226","5130","287784"
"24","Kenneth Talbott","US","Region 1","Mid-South","58","2","7","9","61","16","19","2413","110","4.9","C 4.09","2169","1425","13","3516","409854"
"25","Gabe Hawkins","US","Region 2","Virginias","120","8","7","8","51","32","17","3061","221","3.5","C 3.97","2048","1350","27","6112","374244"
"26","Dorian Alhauari","FR","Region 5","France","55","3","10","9","56","17","19","1793","48","4.18","C 3.95","2039","1337","9","3053","283386"
"27","Sebastian Nielsen","DK","Region 7","Scandinavia","78","17","2","5","67","40","15","1927","498","2.59","C 3.95","2659","1350","0","5189","351805"
"28","Christopher Wade2","US","Region 1","Carolina","38","2","7","7","64","12","17","1036","20","2.05","C 3.87","2080","1350","2","2444","395116"
"29","Kenny B. Drew","US","Region 1","Florida","45","2","9","9","60","12","19","1407","59","3","C 3.87","2102","1344","44","2709","401514"
"30","Raymond Tieu","US","Region 2","California Club","33","3","7","7","61","7","17","1143","100","4.18","C 3.83","2093","1293","61","2020","83571"
"31","Ignacio Rodríguez","ES","Region 4","Iberia","30","7","5","7","63","15","17","1015","194","2.23","C 3.82","2079","1350","9","1881","368332"
"32","Eric Korolewski","US","Region 1","New York","46","2","11","8","65","9","18","1403","46","3.67","C 3.80","2142","1350","49","2968","374237"
"33","Chris Holbrook","US","Region 3","Georgia","341","31","7","8","59","78","14","13643","1380","3.19","C 3.79","2026","1131","921","19973","24397"
"34","John Vining","US","Region 3","Texas","42","1","9","7","67","12","17","1298","75","2.98","C 3.79","2203","1350","253","2820","407685"
"35","Dan Neice","US","Region 4","Indiana","648","72","10","10","46","166","19","24691","5200","5.04","C 3.78","2540","1157","1527","30126","139923"
"36","Derek Gansauer","US","Region 1","Carolina","20","7","5","4","88","13","18","585","134","2.9","C 3.78","2500","1350","3","1763","320479"
"37","Michael  Korody","US","Region 1","California Club","60","9","5","6","47","20","12","2186","412","4.22","C 3.77","2157","1342","162","2843","53925"
"38","Gordon Mercer","CA","Region 2","Canada","30","0","8","6","71","12","17","711","1","2.8","C 3.77","2223","1350","14","2138","93931"
"39","Aday Coba Lopez","ES","N/A","Iberia","29","6","5","7","67","14","17","1008","213","3.31","C 3.77","2124","1349","85","1938","119518"
"40","Nils Sentkowski","DE","N/A","DE-AT-CH","33","13","4","3","71","22","12","1354","506","3.18","C 3.77","2608","1350","178","2350","144826"
"41","James A Saunders","GB","N/A","UK and I","301","75","5","8","68","128","18","7797","2719","4.73","C 3.76","2968","1350","396","20572","187528"
"42","Blake Hamilton","US","Region 1","Mid-South","20","7","4","4","92","14","15","866","372","1.2","C 3.75","2404","1366","100","1838","66166"
"43","Sietse Boersma","NL","Region 5","Benelux","24","4","5","5","68","10","15","835","135","3.33","C 3.75","2202","1350","61","1634","301737"
"44","Christophe Sanchez","FR","Region 5","France","47","10","4","6","63","26","16","1071","171","2.94","C 3.75","2486","1327","44","2948","337070"
"45","Mikah Barnett","US","Region 1","Mid-South","130","1","10","8","61","38","17","3939","51","4.02","C 3.74","2331","1317","15","7958","106737"
"46","Damien Roux","FR","Region 5","France","125","6","9","9","57","34","18","4099","121","5.08","C 3.74","2089","1284","426","7117","332109"
"47","Fernand Frankignoul","BE","Region 5","Benelux","163","6","9","7","34","17","12","5115","146","4.36","C 3.73","2032","1196","239","5607","55723"
"48","Todd Sipe","US","Region 1","Florida","1025","83","5","7","62","292","14","43169","5387","3.09","C 3.73","2699","1239","2783","63669","131608"
"49","Paul Krumrei2","US","Region 3","Midwest","58","8","9","7","61","20","15","1880","157","3.33","C 3.73","2153","1264","38","3527","192725"
"50","Sergi Segarra","ES","N/A","Iberia","63","9","7","7","59","26","17","1345","142","3.51","C 3.73","2351","1330","98","3740","231275"
"51","Samuel Marek","CA","Region 2","Canada","110","5","7","8","52","27","17","3175","170","3.68","C 3.72","2293","1350","76","5685","333522"
"52","Alex Cummings","US","Region 1","Mid-South","83","2","9","8","54","17","16","2100","53","3.82","C 3.72","2021","1322","45","4503","335009"
"53","Garth Duffy","AU","Region 1","Australia/NZ","62","10","5","6","63","26","15","1640","113","2.77","C 3.71","2338","1351","92","3876","356416"
"54","Clay Dunbar2","US","Region 1","Mid-South","46","4","9","9","66","19","20","1427","74","2.83","C 3.71","2223","1350","27","3028","406824"
"55","Vernon Woodard","US","Region 5","New England","722","35","8","8","44","141","15","24372","1584","4.85","C 3.70","2071","1282","719","31644","266961"
"56","Tom Abromaitis","US","Region 3","Midwest","47","7","7","7","70","12","16","1478","157","3.68","C 3.70","2486","1350","70","3306","405796"
"57","Memphis Villarreal","US","N/A","Texas","2715","437","7","8","58","918","16","107766","21626","4.74","C 3.69","2413","1256","12817","157250","139121"
"58","Ruslan Bairamkulov","US","N/A","Central-Eastern Europe","37","4","7","6","62","14","15","1438","165","3.32","C 3.69","2161","1350","2","2285","187404"
"59","Danny Arch","US","Region 2","Ohio","63","6","5","6","58","17","11","2468","249","3.37","C 3.68","2028","1312","125","3651","75360"
"60","Brando Valeriano","ES","N/A","Iberia","50","7","7","8","59","17","16","1715","218","3.82","C 3.68","2153","1350","63","2951","171873"
"61","Devon Stove","CA","Region 1","Australia/NZ","222","11","8","8","40","39","14","7038","392","3.64","C 3.68","2415","1256","416","8918","232587"
"62","James Shanks","GB","Region 3","UK and I","39","6","6","5","79","20","16","1247","92","2.41","C 3.68","2774","1350","144","3092","347483"
"63","Pawel Szymanek","PL","N/A","Central-Eastern Europe","35","5","7","5","62","13","14","1034","120","3.83","C 3.66","2237","1323","116","2181","239055"
"64","Brody Garner","US","Region 4","Great Plains","85","6","9","10","68","30","20","2648","123","3.76","C 3.66","2418","1350","0","5804","418803"
"65","Austin Leamon","US","Region 1","Florida","536","37","8","8","52","112","16","17402","1522","4.8","C 3.65","2498","1316","630","27966","309252"
"66","Johannes Rojola","FI","Region 5","Finland","43","2","9","7","66","15","16","955","22","2.56","C 3.62","2146","1318","98","2833","62081"
"67","Aaron Deagnon","CA","Region 2","Canada","152","4","8","7","54","29","14","6160","274","4.3","C 3.62","2115","1350","325","8200","175952"
"68","Daniel Drako","BE","Region 5","Benelux","27","3","6","5","66","11","16","821","75","2.85","C 3.62","2171","1438","21","1790","276258"
"69","David Williams","GB","Region 3","UK and I","24","6","6","5","86","11","14","608","120","2.54","C 3.61","2602","1345","106","2074","16662"
"70","TJ Majors","US","Region 5","New England","13","8","2","4","92","10","16","486","262","1.54","C 3.61","2217","1350","33","1191","219285"
"71","Dino Topic","CA","Region 2","Canada","87","2","8","7","59","27","16","2518","25","5.37","C 3.60","2298","1209","80","5164","166318"
"72","Wilburn Calton","US","Region 1","Carolina","38","5","6","5","58","12","12","1025","166","2.42","C 3.60","2166","1319","101","2202","274005"
"73","Gabriel Alejandro Cantu2","AR","Region 7","Hispanoamérica","34","5","6","6","68","15","16","1110","219","3.59","C 3.60","2298","1350","31","2299","356409"
"74","Jones Cooley","US","Region 1","Carolina","37","13","8","8","71","18","20","930","278","2.7","C 3.60","2446","1345","8","2618","421368"
"75","PJ Popham","US","Region 4","Northwest","299","40","6","9","58","92","16","9058","1717","3.78","C 3.59","2129","1314","990","17343","273800"
"76","Rs Senter","US","Region 3","Georgia","262","58","6","7","49","90","13","7926","2232","5.18","C 3.58","2295","1373","837","12769","15676"
"77","William DeRivera","US","Region 4","Northwest","28","4","8","6","68","8","12","1047","119","1.57","C 3.58","2037","1316","80","1911","26290"
"78","Tae Kim","CA","Region 2","Canada","68","2","8","9","58","21","18","2092","94","4.69","C 3.58","2041","1288","32","3957","68369"
"79","Marc A Miller","US","Region 6","Michigan","79","9","12","8","53","21","16","2070","172","4.08","C 3.57","2039","1192","62","4178","86026"
"80","Rene Leclerc","DE","Region 2","DE-AT-CH","28","1","8","8","68","8","19","1007","68","3.86","C 3.57","2168","1400","37","1893","141031"
"81","Alexey Shelobanov","RU","Region 4","Central-Eastern Europe","42","5","7","6","60","16","14","1278","131","4.57","C 3.57","2038","1350","154","2513","304554"
"82","Janosch Brand","DE","Region 2","DE-AT-CH","32","2","8","6","59","10","15","892","31","2.13","C 3.57","2055","1350","31","1892","324068"
"83","Sam Oliver","US","Region 1","Mid-South","63","2","9","9","58","15","18","2266","85","4.22","C 3.57","2050","1303","41","3641","403919"
"84","Dylan Priestley","AU","Region 1","Australia/NZ","84","9","5","7","46","32","15","2251","422","4.14","C 3.56","2338","1307","189","3892","186769"
"85","Bryan J Bieniek","US","Region 3","Midwest","21","2","7","6","74","10","16","807","109","3.71","C 3.56","2177","1350","27","1563","304288"
"86","Bobby Timmons","US","Region 5","New England","533","65","7","7","62","147","13","20828","2698","4.15","C 3.55","2119","1330","837","33199","41997"
"87","Daniel Mesa Ramirez","ES","N/A","Iberia","65","9","8","6","64","29","16","1821","158","3.83","C 3.55","2649","1350","33","4144","170416"
"88","Chris M Scott","US","Region 1","Florida","25","4","6","8","61","10","20","727","124","2.84","C 3.54","2023","1292","16","1529","100877"
"89","António Ferreira","PT","N/A","Iberia","66","18","7","7","50","31","15","1750","441","2.71","C 3.54","2153","1315","12","3300","212458"
"90","Blake Follmer","US","Region 3","Midwest","76","12","6","7","59","26","14","2498","450","3.76","C 3.54","2417","1342","290","4510","302044"
"91","Jason Fraser","US","Region 4","Northwest","30","5","6","6","71","14","13","1251","258","1.93","C 3.53","2199","1488","68","2142","81680"
"92","Stefan Muijselaar2","NL","N/A","Benelux","41","4","9","8","59","16","17","1246","115","3.17","C 3.53","2033","1288","79","2433","106463"
"93","Donald Lafreniere","CA","Region 2","Canada","231","10","8","9","52","50","18","4341","226","4.4","C 3.53","2533","1313","24","11909","336719"
"94","Matt Urban","US","Region 3","Midwest","646","56","6","7","49","175","15","21943","2864","4.66","C 3.52","2491","1277","1365","31777","161708"
"95","Dylan Ritchie","CA","Region 2","Canada","173","13","9","8","57","46","15","6368","596","4.34","C 3.52","2239","1401","486","9887","190701"
"96","Diego Barredo2","ES","Region 4","Iberia","113","9","7","8","53","35","16","2688","251","4.65","C 3.52","2115","1264","0","5949","227156"
"97","Hampus Baaz","SE","Region 7","Scandinavia","72","5","6","7","66","25","16","1936","99","3","C 3.52","2419","1256","202","4731","261289"
"98","Jason Tay","SG","Region 7","Asia","20","2","8","5","74","8","17","697","11","3","C 3.52","2134","1350","311","1471","274870"
"99","Daniel Nyman","US","Region 6","New Jersey","33","11","3","5","94","23","19","809","221","3.15","C 3.52","2982","1350","36","3106","286608"
"100","Nicolas Gentil","FR","Region 5","France","58","3","9","7","63","21","16","1310","35","3.38","C 3.52","2290","1350","43","3628","312158"
"101","Michael Harrold","US","Region 4","Pennsylvania","105","6","7","7","49","21","14","2078","101","4.25","C 3.50","2076","1350","182","5151","264883"
"102","Joakim Braun","NO","Region 7","Scandinavia","14","2","6","6","76","8","19","625","136","3.21","C 3.50","2005","1350","50","1066","325754"
"103","Eddie Hartley","US","Region 4","Indiana","55","3","8","6","59","16","14","1514","89","2.78","C 3.49","2321","1350","32","3226","327032"
"104","Nicola De Val","IT","Region 6","Italy","35","3","5","7","63","15","18","1116","140","3.66","C 3.49","2054","1350","177","2219","337960"
"105","Shunsuke Teshima","JP","Region 7","Japan","32","3","6","5","60","11","13","1075","100","3.44","C 3.49","2092","1350","304","1904","405265"
"106","Timmy Solomito","US","Region 1","New York","39","6","7","6","61","12","11","1432","252","3.38","C 3.48","2021","1336","127","2398","17266"
"107","David Etheridge","US","Region 1","California Club","75","6","6","6","53","21","13","2990","337","3.11","C 3.48","2026","1359","143","3970","54234"
"108","John Mohnkern","US","Region 2","Ohio","165","8","7","8","52","47","17","4142","284","5","C 3.48","2030","1249","41","8551","303711"
"109","Christopher Hills2","US","Region 1","Carolina","239","18","9","8","45","52","16","9201","732","6.05","C 3.48","2264","1311","173","10840","353793"
"110","Bill Weinreich","US","Region 4","Pennsylvania","353","15","7","7","61","70","14","15622","924","3.84","C 3.47","2486","1409","1173","21527","94200"
"111","Corey Speiran","CA","N/A","Canada","87","7","7","6","69","40","16","2627","199","3.09","C 3.47","2680","1351","28","6024","144179"
"112","Sam D Blacklock","AU","Region 1","Australia/NZ","26","1","7","5","63","6","13","655","4","2.31","C 3.47","2046","1320","44","1640","246097"
"113","Aaron Wells","US","Region 1","California Club","879","140","7","7","52","242","13","29165","5725","3.44","C 3.46","2142","1508","1443","46070","24424"
"114","Zach Myers","US","Region 2","Ohio","498","44","7","7","60","152","14","18096","1813","5.61","C 3.46","2348","1158","1758","29765","105075"
"115","Davis Rochester","US","Region 1","Mid-South","332","35","6","8","49","89","15","9993","1783","3.17","C 3.46","2008","1193","795","16219","216835"
"116","Ethan Courter","US","Region 3","Midwest","35","6","7","6","73","21","17","869","101","2.77","C 3.46","2307","1350","7","2552","386249"
"117","Jelmer Kampen","NL","Region 5","Benelux","30","3","5","7","65","13","18","853","158","3.7","C 3.46","2111","1350","42","1947","389462"
"118","Jarrett Jones3","US","Region 1","Florida","107","10","7","9","54","34","17","3907","348","4.72","C 3.45","2363","1350","82","5740","389957"
"119","Eric Chaney","US","Region 4","Northwest","183","19","6","8","41","52","15","5411","771","7.67","C 3.44","2459","1294","72","7474","110236"
"120","Charles Ghazarian","CA","Region 2","Canada","33","3","7","7","67","10","17","1224","87","2.85","C 3.43","2113","1357","45","2212","32312"
"121","Andy Jones2","US","Region 5","Illinois","165","13","8","9","60","38","17","5817","563","4.23","C 3.43","2365","1350","475","9943","108690"
"122","Zackary Webster","US","Region 1","Mid-South","66","1","6","7","55","18","16","1866","57","3.24","C 3.43","2012","1313","13","3611","244982"
"123","Harry Smoak","US","Region 5","New England","35","13","3","4","82","18","14","1605","580","3.71","C 3.43","2803","1350","35","2865","349646"
"124","Leonardo Suarez","CO","Region 7","Hispanoamérica","39","3","7","6","61","16","16","1219","128","4","C 3.43","2252","1350","13","2385","362639"
"125","Arno Hoogenhuizen2","NL","N/A","Benelux","45","8","5","6","62","22","16","1005","228","2.93","C 3.42","2117","1316","102","2801","146671"
"126","Jorge Barrio","AR","Region 7","Hispanoamérica","58","7","6","8","58","20","17","1619","267","6","C 3.42","2178","1350","188","3369","309188"
"127","Daniel Garcia Elgarbay","ES","Region 4","Iberia","21","5","4","5","76","13","16","629","176","3.38","C 3.42","2265","1349","6","1586","329892"
"128","Timothy Lowery","US","Region 1","Carolina","171","9","11","10","44","36","19","5228","300","4.49","C 3.42","2328","994","104","7582","366519"
"129","Shawn Campbell","US","Region 5","Illinois","12","3","3","4","85","8","14","739","164","2.33","C 3.41","2155","1366","69","1019","20551"
"130","Joseph Bisson","US","Region 2","Virginias","38","4","4","6","69","12","13","1530","162","2.53","C 3.41","2220","1350","65","2617","59797"
"131","Caitlyn McDade","GB","Region 3","UK and I","60","6","8","8","56","18","16","1734","90","3.13","C 3.41","2066","1316","23","3386","107978"
"132","Lee Weatherford","US","Region 4","Great Plains","94","13","5","7","58","35","16","2908","450","5.24","C 3.41","2562","1317","293","5425","121324"
"133","Donni Hald Alfer-Henriksen","DK","Region 7","Scandinavia","43","4","9","6","58","13","15","1544","145","3.77","C 3.41","2225","1292","17","2483","144853"
